,x,y,Name
144,12.298557,42.451347,Little Women
145,-58.07258,37.111855,Galaxy Quest
146,-89.51293,-27.177673,Kick-Ass
147,0.31660268,55.042046,Uncharted
148,2.4819133,43.090305,Free Guy
149,-51.787056,38.01427,Back to the Future
150,-25.025723,45.701153,Saving Private Ryan
151,-48.52912,28.79122,Tusk
152,-65.46952,-2.6421764,Shutter Island
153,-26.47134,-47.804592,Kids
154,-50.140656,-23.502254,The Big Short
155,-66.54325,13.620756,The Fifth Element
156,-31.981833,-35.116405,La La Land
157,15.130613,13.547008,Black Panther
158,-24.637613,44.005127,The Green Mile
159,-34.75494,18.088764,Apocalypse Now
160,-55.367496,32.642315,Terminator 2: Judgment Day
161,-64.154015,49.92712,F9
162,-86.916,-12.621858,Death on the Nile
163,-99.006256,1.8508798,Harry Potter and the Goblet of Fire
164,-51.766933,-44.665993,10 Things I Hate About You
165,2.6133275,-50.06743,Good Burger
166,-5.705488,48.730087,Sen to Chihiro no kamikakushi
167,-45.838074,28.70064,The Princess Bride
168,-60.442707,-10.286496,Super 8
169,-21.809,-15.404144,Cars
170,-42.498455,-60.74256,Sleeping Beauty
171,-61.918945,-28.105997,Avengers: Infinity War
172,-90.06174,-4.0309334,Doctor Strange in the Multiverse of Madness
173,-54.93682,19.967365,The Great Gatsby
174,-97.66459,-8.940224,Wonder Woman 1984
175,-39.62699,-22.975262,The Greatest Showman
176,56.87436,15.317702,Detachment
177,-39.06186,9.527837,Dungeons & Dragons
178,-44.401962,18.962982,1917
179,-39.444992,45.72268,National Lampoon's Animal House
180,-76.51689,18.95697,World War Z
181,-59.011684,12.6786585,The Dark Knight Rises
182,64.192276,-50.129337,The Grand Budapest Hotel
183,-17.909193,45.063984,Dunkirk
184,-77.325424,-25.507206,Star Wars: Episode IX - The Rise of Skywalker
185,-67.27621,21.787529,Eternals
186,-61.623398,31.672422,The Martian
187,38.748055,-75.57558,"Lyle, Lyle, Crocodile"
188,4.188405,-44.122753,Rogue One
189,-54.51482,50.679787,Blade Runner
190,-25.902994,-4.6109076,She's the Man
191,-17.707531,-6.7412777,Pretty Baby
192,-81.151634,-10.855503,Deadpool
193,-46.239334,-49.868626,"Three Billboards Outside Ebbing, Missouri"
194,1.9385478,41.790947,Jumanji: Welcome to the Jungle
195,-1.5673293,-60.96618,Evil Dead
196,-30.879166,-22.133802,We're the Millers
197,-69.170074,26.963293,Hidden Figures
198,-52.095905,15.898915,The King's Man
199,-49.925972,21.387026,Hacksaw Ridge
200,-18.213709,-59.4365,Ready or Not
201,-38.982384,36.182724,Fantastic Beasts: The Secrets of Dumbledore
202,-38.762764,9.968465,The Lion King
203,3.7092838,73.16339,Wo hu cang long
204,-42.807972,30.967886,Wrath of Man
205,65.20697,-42.926533,The Dreamers
206,-40.840096,0.21380474,Troy
207,-22.079704,-14.357566,Ford v Ferrari
208,-65.435005,36.521877,Arrival
209,-40.79144,-79.56713,Twilight
210,3.4149847,-0.36407134,The Shining
211,-29.470926,35.280437,Psycho
212,-7.826139,27.077345,Excalibur
213,-14.262508,-30.907324,Superbad
214,-48.45217,28.655136,The Sixth Sense
215,-65.516335,36.669098,2001: A Space Odyssey
216,-58.35414,5.9154825,Nymphomaniac: Vol. I
217,-50.05279,-35.79548,Beetle Juice
218,-45.77918,4.123056,Braveheart
219,-91.924034,38.63346,The Big Lebowski
220,-99.08031,1.9765326,Harry Potter and the Deathly Hallows: Part 2
221,18.557133,84.05524,Oldeuboi
222,-46.879406,37.710968,A Clockwork Orange
223,32.26528,40.908215,Ghostbusters: Afterlife
224,-13.606662,22.650618,The Usual Suspects
225,-30.285192,-51.035786,Grease
226,65.883606,-21.20239,Super Mario Bros.
227,-25.552656,-3.5260897,Magic Mike
228,4.928459,18.240469,Drive
229,-87.67351,11.434382,Spider-Man: Into the Spider-Verse
230,-43.448902,-3.7904515,The Lost Boys
231,-56.69036,-27.02503,Her
232,-25.410948,-14.74919,The Outsiders
233,6.307499,-48.94249,There Will Be Blood
234,19.335999,-40.221817,Marcel the Shell with Shoes On
235,-87.01734,11.67105,Spider-Man
236,-46.53332,-18.19247,The Irishman
237,3.882475,81.36931,Shang-Chi and the Legend of the Ten Rings
238,-38.336056,9.162226,Lolita
239,19.135342,-2.8248172,The Devil Wears Prada
240,-86.930786,-12.621679,Murder on the Orient Express
241,-26.125517,-46.462467,Donnie Darko
242,59.1333,15.593521,After We Collided
243,-67.64791,2.4477856,Suicide Squad
244,-20.237602,26.556301,Blazing Saddles
245,-12.295442,32.597366,The Exorcist
246,74.865685,6.996084,Ticket to Paradise
247,-78.924706,28.902067,Call Me by Your Name
248,59.12898,15.549853,After
249,-40.874264,-46.502686,Adventureland
250,-26.530273,-79.262665,Clueless
251,-52.72618,45.754425,Indiana Jones and the Last Crusade
252,-48.15283,0.8953151,Memento
253,-61.076733,-23.130716,From Dusk Till Dawn
254,-25.322777,52.706635,How the West Was Won
255,-37.52419,-11.025647,Event Horizon
256,-74.1272,-30.904327,Rocky Balboa
