,x,y,z,Name
115,21.802004,13.0802555,1.9308674,Wild Things
116,61.600574,-9.527675,-36.625225,Star Wars
117,69.52301,-12.870474,0.53211325,Sicario
118,19.535938,-25.482218,33.6662,Pirates of the Caribbean: The Curse of the Black Pearl
119,-23.719578,-28.016855,51.670025,Kingsman: The Golden Circle
120,10.837334,3.2687998,36.2769,It
121,-18.011,-13.719653,-58.380886,Tenet
122,-44.313652,-17.241749,29.08537,No Country for Old Men
123,35.506824,-31.41337,22.288754,Eyes Wide Shut
124,31.487095,12.9606285,-44.211536,Léon
125,34.31876,-38.474342,19.124632,Sing 2
126,57.387695,-21.800913,0.57312185,Guardians of the Galaxy
127,-4.7919664,7.6655707,48.84648,Stand by Me
128,38.39727,-53.391914,5.1812453,In Bruges
129,-11.047142,-23.223097,-21.48966,The Passion of the Christ
130,11.006424,-43.157257,3.9638517,Alien
131,49.649418,-1.4249336,39.440678,Beauty and the Beast
132,45.302948,-8.955308,-26.165459,The Hunger Games: Mockingjay - Part 1
133,-28.331205,1.3581988,35.08657,Rear Window
134,26.705236,-6.6465507,11.572853,Sunshine
135,0.36983287,-34.13686,52.495293,Scary Movie
136,48.14372,6.5009627,27.930445,Gone Girl
137,41.48482,31.359797,-8.853888,The Lion King
138,2.3292813,-37.66783,-11.46403,Green Book
139,-0.4532415,-22.249372,-55.050446,The Equalizer
140,39.14511,4.3196297,-11.120871,True Lies
141,5.2578855,-12.820745,-3.8788998,Catch Me If You Can
142,23.413729,26.409916,-29.85291,Encanto
143,-15.674263,-9.139676,26.747215,Point Break
144,8.061073,2.4614427,-64.14679,Little Women
145,26.29415,-22.437237,-13.990679,Galaxy Quest
146,-4.741041,-21.03037,-52.876945,Kick-Ass
147,-5.640641,22.727015,-34.157227,Uncharted
148,30.706505,2.0593317,-50.24408,Free Guy
149,-9.781976,-17.662409,67.52094,Back to the Future
150,3.0937629,-12.922137,-6.2460647,Saving Private Ryan
151,42.74917,-26.86547,-26.083927,Tusk
152,24.971292,-50.32104,-5.173113,Shutter Island
153,17.866024,-1.3155829,26.183828,Kids
154,20.117052,-63.36344,-0.64654386,The Big Short
155,27.94334,-30.680212,39.476357,The Fifth Element
156,27.549582,-13.899231,35.376194,La La Land
157,16.930037,26.472805,-17.205593,Black Panther
158,61.545177,5.9837995,-5.931594,The Green Mile
159,-16.27337,-35.813515,3.643747,Apocalypse Now
160,25.07952,-10.415104,-29.979753,Terminator 2: Judgment Day
161,60.215195,-21.813116,8.676185,F9
162,-9.391493,-42.203205,-24.6592,Death on the Nile
163,41.737362,5.1441836,36.09573,Harry Potter and the Goblet of Fire
164,41.512028,-32.341858,0.431503,10 Things I Hate About You
165,-3.3539798,-11.97068,31.363276,Good Burger
166,11.8916235,32.467274,-18.51932,Sen to Chihiro no kamikakushi
167,30.65169,-12.740454,-29.129133,The Princess Bride
